3 3 2 4 12 5 6 2 3 3 8 7 2 3 1 21 
3 4 7 6 6 9 102 4 1 3 4 8 2 3 1 5 
3 4 4 4 10 5 88 5 0 1 12 1 3 9 2 5 
3 4 7 6 1 9 113 5 0 6 4 8 2 3 1 5 
5 6 3 9 6 5 61 1 0 6 12 10 3 5 1 11 
5 4 7 4 10 12 113 5 0 8 8 8 2 3 3 5 
3 3 2 6 1 9 35 4 8 3 10 4 7 3 1 3 
5 4 7 6 10 9 105 5 0 3 4 10 3 3 2 5 
3 3 4 6 3 9 33 4 0 3 2 10 3 3 1 5 
5 3 8 3 6 9 38 4 0 8 8 8 3 3 1 11 
2 4 6 6 18 5 83 2 0 6 8 4 3 5 7 11 
5 3 3 4 10 9 98 2 0 3 4 4 3 3 7 11 
5 6 7 13 6 9 97 4 0 6 4 8 2 3 1 11 
3 2 6 3 6 9 38 2 1 6 4 8 3 3 1 11 
5 3 3 6 6 12 87 2 1 6 2 4 3 3 1 16 
5 3 7 9 10 14 85 4 1 6 4 7 2 3 1 21 
5 4 6 6 6 9 104 5 0 9 8 8 2 3 1 5 
2 4 3 6 15 9 100 2 0 3 2 4 3 3 7 11 
3 6 4 11 12 9 68 5 0 1 13 1 3 5 2 11 
3 3 2 6 6 9 27 2 1 6 12 4 2 3 1 21 
5 4 7 6 10 12 97 4 1 3 8 8 2 3 1 5 
3 4 6 9 3 9 113 5 1 6 4 8 2 3 1 5 
6 3 4 3 3 9 52 4 0 3 2 10 3 3 1 5 
2 3 4 4 12 9 54 4 0 3 4 10 3 3 1 3 
3 3 6 4 10 13 102 2 8 6 2 8 1 5 2 16 
3 4 7 6 3 9 105 5 0 8 4 8 2 3 1 5 
3 3 6 4 10 5 38 4 0 6 12 8 4 3 1 11 
3 3 6 4 6 9 38 4 7 8 4 8 3 5 1 16 
3 6 6 9 6 5 104 5 1 3 8 8 2 3 1 5 
5 4 6 11 6 9 102 4 0 6 4 8 2 3 1 5 
3 6 6 11 10 9 81 5 1 6 4 8 2 3 1 5 
6 6 7 11 6 9 104 5 0 6 4 8 1 3 1 5 
5 3 4 4 15 9 61 4 1 6 8 10 3 3 1 1 
3 3 6 4 6 9 37 4 0 6 10 10 3 5 1 8 
3 4 3 9 10 9 112 2 1 3 4 4 3 3 7 5 
5 6 7 12 6 9 23 4 0 3 10 4 4 3 2 16 
5 6 7 11 10 9 107 5 0 8 4 8 2 3 1 3 
3 4 6 12 10 9 65 5 1 3 8 8 1 3 1 11 
3 4 6 6 6 9 92 5 0 6 10 8 2 3 1 5 
3 3 6 3 10 9 38 4 0 9 8 8 3 5 1 11 
3 3 6 4 12 13 91 1 8 3 2 8 1 3 2 16 
3 3 6 4 10 13 85 2 8 6 2 8 1 5 2 16 
5 3 6 4 6 9 38 4 8 8 8 8 1 3 1 11 
3 6 6 9 3 12 39 5 0 6 4 8 3 3 1 5 
3 3 6 3 6 13 93 2 8 8 2 8 1 5 2 16 
