2 3 7 3 12 9 41 2 0 6 2 8 3 3 1 11 
3 3 6 4 10 9 92 2 0 8 2 10 3 5 2 16 
3 3 6 6 10 9 85 7 0 3 10 8 1 3 1 5 
6 4 6 4 10 9 43 5 0 6 4 8 3 3 1 5 
5 4 6 9 10 9 65 4 0 6 8 8 2 3 1 11 
3 4 6 6 10 9 69 2 1 6 4 10 2 5 1 11 
3 3 7 4 12 12 69 2 1 8 12 8 2 3 1 5 
3 4 6 9 10 9 44 5 0 8 4 8 2 3 1 5 
2 3 6 6 12 12 94 4 0 6 8 8 3 5 1 16 
3 6 3 9 12 9 102 2 0 8 4 10 2 3 2 11 
3 3 4 4 10 5 104 2 0 6 2 12 3 5 2 16 
5 3 6 4 3 5 65 2 0 6 2 10 3 5 2 16 
3 3 6 6 6 5 2 5 0 1 2 12 3 3 1 21 
3 3 7 4 6 5 61 7 0 8 4 8 2 3 1 5 
3 3 4 4 10 5 105 2 0 6 2 10 3 5 2 16 
3 3 6 4 12 9 87 2 0 3 2 10 2 5 2 16 
5 4 4 9 6 9 39 7 1 6 4 8 3 3 2 5 
3 3 4 4 12 12 46 4 0 8 4 10 3 5 7 21 
3 3 6 6 6 9 41 2 0 1 2 8 2 5 2 16 
3 4 6 4 6 12 65 5 0 9 8 8 2 3 1 5 
5 4 6 4 15 9 68 2 0 6 2 8 4 5 2 16 
6 3 4 4 6 12 35 2 0 6 2 10 2 3 1 11 
3 3 6 4 20 9 102 2 0 3 2 1 1 3 1 11 
3 3 6 4 12 9 88 2 0 6 2 10 3 5 2 16 
7 3 4 4 15 12 83 4 0 3 10 10 3 5 1 1 
3 3 7 4 15 5 61 2 0 9 2 10 3 3 2 16 
2 6 6 11 3 9 38 5 0 3 8 8 2 3 1 3 
3 3 7 4 15 5 61 2 0 8 2 10 3 5 2 16 
5 4 4 9 12 9 39 2 0 6 1 7 3 3 1 11 
3 4 7 6 15 12 65 4 1 6 8 8 2 3 1 5 
6 4 4 1 6 9 39 5 0 6 4 8 3 3 1 5 
5 3 4 4 1 9 52 4 1 8 8 10 3 3 1 5 
3 6 3 9 6 12 45 2 1 6 8 8 2 3 1 11 
3 4 4 9 10 5 33 4 0 3 4 12 3 3 1 11 
6 3 4 4 3 9 52 4 0 3 1 10 3 3 1 5 
3 3 4 4 10 12 100 2 0 8 4 8 3 5 2 16 
3 3 4 4 10 5 104 2 0 6 2 10 3 5 2 16 
2 3 6 4 10 12 41 2 0 6 2 8 4 3 1 11 
6 3 4 4 18 12 54 4 0 6 8 10 3 3 1 1 
3 4 6 6 3 9 108 7 1 6 4 8 2 3 7 5 
3 3 4 3 12 5 65 2 0 3 4 8 3 5 1 5 
3 3 6 4 12 9 87 2 0 6 2 10 3 5 2 16 
6 2 6 2 12 5 43 5 0 12 8 4 2 3 1 3 
5 6 6 11 3 9 15 4 0 3 13 10 3 3 2 11 
2 3 8 4 10 9 43 2 0 6 2 8 3 3 1 11 
3 4 6 6 6 9 71 2 0 6 8 8 2 5 1 11 
3 3 4 4 12 5 104 2 0 8 2 10 3 5 2 16 
3 4 3 4 12 12 32 2 0 8 1 7 2 5 1 5 
3 3 4 4 6 9 52 4 0 3 2 10 3 3 1 5 
3 4 6 9 12 9 69 2 0 8 4 8 2 3 1 11 
7 3 4 6 3 9 35 4 0 6 2 12 3 3 1 5 
3 6 4 11 3 9 26 7 0 3 12 4 2 3 1 21 
3 3 7 4 15 5 87 2 0 8 2 10 3 5 2 16 
3 6 4 11 3 5 15 4 1 6 10 10 3 3 1 11 
2 3 7 3 6 9 67 2 1 6 4 10 3 5 2 16 
2 3 6 9 12 5 98 4 0 3 1 4 3 3 2 11 
3 3 4 4 3 9 33 4 0 6 2 10 3 3 1 5 
3 4 4 9 6 9 41 5 8 3 4 12 2 3 1 5 
3 4 6 4 12 9 68 2 0 8 4 10 2 5 1 11 
6 4 4 6 6 9 39 5 0 3 4 8 3 3 1 5 
5 4 3 9 2 3 15 5 0 1 4 10 2 3 1 11 
2 6 6 6 18 9 63 5 1 6 8 8 1 3 1 5 
3 4 4 9 10 9 26 5 0 3 4 4 2 3 1 21 
5 6 3 11 18 12 14 2 0 3 4 8 3 5 1 5 
6 4 7 6 10 12 92 2 0 3 4 8 3 5 2 11 
3 4 4 4 12 9 45 2 0 6 4 8 2 5 1 16 
3 3 6 4 18 12 41 2 0 3 8 8 2 3 1 11 
6 3 4 6 3 9 52 4 1 6 1 10 3 3 1 5 
2 3 6 4 12 9 67 2 0 6 2 10 3 5 2 16 
6 3 4 4 3 9 35 2 0 6 2 10 3 3 1 5 
5 3 4 6 3 9 54 4 0 3 2 10 2 3 1 5 
